SrcAddrssOfCntrllngDvcForEngCtrl,ActlEngPrcntTorqueHighResolution,EngDemandPercentTorque,EngStarterMode,EngSpeed,ActualEngPercentTorque,DriversDemandEngPercentTorque,EngTorqueMode,EngTotalRevolutions,EngTotalHoursOfOperation,EngTotalFuelUsed,EngTripFuel
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
133,15,27.0,15,2300.0,23.0,23.0,15,4294967295000.0,214748364.75,2147483647.5,2147483647.5
